end_year,citylng,citylat,intensity,sector,topic,insight,swot,url,region,start_year,impact,added,published,city,country,relevance,pestle,source,title,likelihood
2018,,,12,Information Technology,artificial intelligence,What's next for Health IT - Trends for 2018,,http://www.infosysblogs.com/healthcare/2017/06/whats_next_for_health_it_-_tre.html,,2017,,"June, 26 2018 07:28:39","June, 26 2018 00:00:00",,,3,Technological,infosysblogs,Adoption of AI diagnostics is expected to further accelerate through 2017-18.,4
2020,,,16,,pharmaceutical,The 8 Healthcare Trends that will impact your sales in 2018,,http://www.jhconline.com/the-8-healthcare-trends-that-will-impact-your-sales-in-2018.html,,2010,3,"June, 26 2018 05:53:45","June, 26 2018 00:00:00",,,4,Healthcare,,The Specialty Pharma market was $274 b in 2010 and will be $483 b in 2020.,4
2024,,,20,Pharmaceuticals,drug,Market share of top 20 companies for orphan drugs worldwide 2017 and 2024,,https://www.statista.com/statistics/373373/top-companies-based-on-global-orphan-drug-market-share/,World,,,"June, 26 2018 03:53:23","June, 26 2018 00:00:00",,,5,Healthcare,Statista Infographics,"In 2017, Roche's orphan drugs market share accounted for 8.2 percent of the world's market and is expected to decrease down to 5.2 percent by 2024.",4
2019,,,16,Information Technology,data,New NASA mission to detect plant water use from space,,https://climate.nasa.gov/news/2752/new-nasa-mission-to-detect-plant-water-use-from-space/,World,,,"June, 26 2018 06:50:48","June, 26 2018 00:00:00",,,4,Technological,Climate Change: Vital Signs of the Planet,"Over the next year, ECOSTRESS will use the space station's unique low Earth orbit to collect data over multiple areas of land at different times of day.",4
2020,,,12,,organization,Cylance® Extends AI-Driven Security to Hybrid Environments and Private Networks With CylanceHYBRID and CylanceON-PREM,,http://www.cybersecuritytrend.com/news/2018/06/21/8776300.htm,,,,"June, 26 2018 02:59:51","June, 26 2018 00:00:00",,,3,Organization,Cybersecurity Trend,90 percent of organizations will adopt hybrid strategies by 2020.,4
2022,,,12,Information Technology,internet of things,Digital twins help to reshape manufacturing,,https://www.controleng.com/single-article/digital-twins-help-to-reshape-manufacturing/9ec26636b2bb4767a32ed084dab810f3.html,,,,"June, 26 2018 04:47:28","June, 26 2018 00:00:00",,,3,Technological,Control Engineering ,"By 2022, 85% of all IoT platforms will embrace digital twins.",4
2025,,,16,Healthcare,diabetes,Facts & Figures,,https://www.diabetes.org.uk/Professionals/Position-statements-reports/Statistics,Northern Europe,,,"June, 26 2018 05:31:29","June, 26 2018 00:00:00",,United Kingdom,4,Healthcare,Diabetes UK,More than five million people will have diabetes in the UK by 2025.,4
2018,,,12,Information Technology,internet of things,Digital twins help to reshape manufacturing,,https://www.controleng.com/single-article/digital-twins-help-to-reshape-manufacturing/9ec26636b2bb4767a32ed084dab810f3.html,,,,"June, 26 2018 04:47:28","June, 26 2018 00:00:00",,,3,Technological,Control Engineering ,"By 2018, organizations investing in IoT-based cognitive situational awareness or operational sensing will witness improvements of up to 30% in critical process cycle times.",4
2020,,,12,,consumption,"Cement strategy must ensure balance of supply, demand",,http://vietnamnews.vn/economy/450339/cement-strategy-must-ensure-balance-of-supply-demand.html,,,,"June, 26 2018 01:33:47","June, 26 2018 00:00:00",,,3,Lifestyles,Vietnam News,Vietnam's total consumption of cement is expected to be 93 million tonnes by 2020.,4
2021,,,12,,,VMware: Decades of hybrid cloud ahead,,https://www.computerweekly.com/blog/StorageBuzz/VMware-Decades-of-hybrid-cloud-ahead,,,,"June, 26 2018 04:14:57","June, 26 2018 00:00:00",,,3,,Computer Weekly,VMware estimates 50% of operations will be cloud-based by 2021.,4
2026,,,16,Information Technology,computing,HPE to Invest $4 Billion for Advancement of Edge Computing,,https://www.zacks.com/stock/news/308597/hpe-to-invest-4-billion-for-advancement-of-edge-computing,World,2017,,"June, 26 2018 04:30:38","June, 26 2018 00:00:00",,,4,Technological,Zacks,"The global edge computing market is expected to reach$ 20,495.24 million by 2026 from$ 7,983.61 million in 2017 at a CAGR of 11%.",4
2018,,,6,,,"Oil & Gas Stock Roundup: Devon's Asset Sale, Exxon's Brazil Win & More",,https://www.zacks.com/stock/news/307511/oil-amp-gas-stock-roundup-devons-asset-sale-exxons-brazil-win-amp-more,,2017,,"June, 26 2018 04:10:14","June, 26 2018 00:00:00",,,3,,Zacks,"Petrobras 2017-2018 divestment plans could be in jeopardy, as the Brazilian Federal court suspended the company's $7 billion deal with Engie SA.",2
2020,,,30,Automotive,autonomous car,Driverless cars: Let technology take the wheel,,https://www.thenational.ae/business/driverless-cars-let-technology-take-the-wheel-1.158730,,,3,"June, 26 2018 00:56:42","June, 26 2018 00:00:00",,,5,Political,The National,Self-driving cars could save $325bn by 2020 by avoiding accidents and reducing fuel costs.,2
2020,,,60,Healthcare,health,What's next for Health IT - Trends for 2018,,http://www.infosysblogs.com/healthcare/2017/06/whats_next_for_health_it_-_tre.html,,,3,"June, 26 2018 07:28:39","June, 26 2018 00:00:00",,,5,Economic,infosysblogs,"Over the next two years, telehealth will approach $1 billion mark in annual investments by fulfilling some critical patient care needs.",4
2026,,,9,Healthcare,disease,"Global Blood Typing, Grouping and Infectious Disease Screening Market 2016-2018 & 2026",,https://www.finanzen.ch/nachrichten/aktien/Global-Blood-Typing-Grouping-and-Infectious-Disease-Screening-Market-2016-2018-&-2026-1027308121,,2017,,"June, 26 2018 03:53:22","June, 26 2018 00:00:00",,,3,Healthcare,finanzen.ch,"Grouping and infectious disease screening market is projected to reach US$ 7,078.3 Mn by 2026 from US$ 3,079.8 Mn in 2017.",3
2025,,,72,Energy,power,"Power Management Integrated Circuit (PMIC) Market 2018 Global Trend, Segmentation And Opportunities Forecast To 2023",,http://www.abnewswire.com/pressreleases/power-management-integrated-circuit-pmic-market-2018-global-trend-segmentation-and-opportunities-forecast-to-2023_233076.html,World,,3,"June, 26 2018 04:25:37","June, 25 2018 00:00:00",,,6,Political,AB Newswire,The global Power Management Integrated Circuit market is valued at 16219.6 million USD in 2017 and is expected to reach 22895.6 million USD by the end of 2025.,4
2025,,,60,,,Biodiesel Info,,https://www.facebook.com/permalink.php?story_fbid=10156041904558301&id=243131968300,World,,3,"June, 25 2018 14:50:35","June, 25 2018 00:00:00",,,5,,Facebook,The global biodiesel market is expected to reach USD54.8 billion by 2025.,4
2038,,,60,Energy,gas,Economic Benefits,,https://www.canadasnaturalgas.ca/en/natural-gas-potential/economic-benefits,,,3,"June, 25 2018 14:48:41","June, 25 2018 00:00:00",,,5,Political,Canada's Natural Gas,Taxes paid to Canada's federal and provincial governments from the upstream natural gas industry will total $405 billion over the next 20 years.,4
2020,,,12,Manufacturing,automation,AASHTO Journal,,https://news.transportation.org/Pages/062218sol2.aspx,,,,"June, 25 2018 03:13:00","June, 25 2018 00:00:00",,,3,Technological,American Association of State Highway and Transportation Officials,One third capacity at the Port of Virginia is now in an automated state and by 2020 that will be over 70 percent.,4
